  46 238,0,113
  46 234,234,1
  45 254,138,0
  44 254,228,0
  42 7,0,0
  40 200,0,187
  39 67,0,254
  39 6,0,254
  39 57,0,254
  39 125,0,254
  38 99,0,254
  38 30,0,254
  38 254,190,0
  38 240,117,94
  38 218,101,156
  38 21,0,254
  38 124,53,234
  38 10,0,0
  37 254,129,0
  36 254,245,0
  36 229,0,122
  35 128,0,251
  32 176,0,187
  31 91,180,187
  31 254,233,0
  31 246,120,43
  30 252,125,6
  29 230,109,120
  29 179,0,213
  29 150,53,0
  29 13,242,34
  27 158,53,233
  27 116,95,235
  26 254,160,0
  26 188,78,196
  26 172,63,215
  25 97,154,197
  25 96,42,195
  25 96,160,196
  25 96,131,195
  25 96,0,254
  25 95,0,254
  25 94,165,191
  25 94,150,192
  25 93,66,190
  25 93,168,190
  25 93,162,190
  25 92,176,188
  25 92,175,188
  25 92,171,189
  25 92,167,188
  25 91,186,187
  25 91,183,187
  25 91,160,185
  25 91,159,186
  25 91,113,187
  25 91,0,212
  25 90,168,184
  25 90,0,254
  25 9,244,25
  25 89,187,183
  25 89,179,182
  25 89,161,183
  25 89,138,180
  25 89,112,179
  25 88,187,180
  25 88,186,180
  25 88,164,179
  25 88,163,179
  25 87,187,179
  25 87,172,179
  25 87,162,178
  25 86,188,176
  25 85,188,176
  25 85,176,174
  25 85,169,174
  25 84,187,174
  25 83,183,171
  25 83,168,171
  25 83,0,254
  25 83,0,187
  25 82,189,169
  25 82,188,170
  25 82,177,168
  25 82,158,167
  25 82,0,254
  25 81,176,166
  25 81,168,166
  25 80,189,164
  25 80,169,165
  25 78,193,162
  25 78,183,161
  25 77,195,160
  25 77,192,159
  25 77,190,158
  25 77,0,234
  25 76,201,157
  25 76,199,158
  25 76,193,158
  25 75,211,156
  25 75,210,156
  25 75,204,156
  25 75,203,157
  25 75,156,156
  25 74,212,154
  25 73,193,152
  25 73,183,151
  25 73,0,212
  25 72,212,150
  25 72,212,149
  25 71,213,148
  25 71,156,148
  25 71,0,254
  25 70,192,145
  25 7,243,18
  25 69,0,254
  25 68,213,142
  25 68,188,141
  25 67,196,139
  25 67,188,139
  25 66,213,139
  25 66,207,138
  25 65,214,137
  25 65,214,136
  25 64,214,135
  25 64,187,133
  25 63,214,133
  25 62,215,131
  25 62,0,212
  25 61,215,128
  25 61,202,128
  25 60,204,125
  25 60,200,124
  25 6,246,19
  25 6,246,18
  25 6,0,29
  25 59,211,124
  25 58,218,123
  25 58,206,121
  25 57,218,122
  25 57,210,120
  25 56,221,118
  25 56,220,120
  25 56,220,119
  25 56,218,118
  25 56,214,119
  25 55,222,117
  25 54,224,116
  25 53,229,114
  25 53,228,114
  25 53,156,0
  25 53,0,156
  25 52,156,113
  25 51,234,111
  25 5,247,16
  25 5,247,14
  25 5,0,254
  25 5,0,0
  25 49,229,106
  25 48,235,104
  25 48,230,104
  25 48,227,104
  25 47,235,103
  25 47,0,254
  25 46,231,99
  25 45,235,98
  25 45,232,98
  25 45,212,98
  25 44,235,96
  25 44,164,93
  25 43,235,95
  25 43,235,94
  25 42,235,91
  25 42,228,91
  25 42,0,254
  25 41,0,254
  25 4,248,13
  25 4,0,254
  25 38,0,0
  25 37,236,81
  25 37,235,83
  25 36,236,80
  25 36,0,254
  25 33,236,75
  25 33,236,74
  25 32,236,72
  25 32,236,71
  25 32,0,29
  25 30,228,67
  25 3,249,9
  25 3,248,10
  25 3,179,9
